Ronda;Fecha;Local;Vistante;Goles Local;Goles Visitante;Total Goles;Resultado
10;2023-10-20 00:00:00;Osasuna;Granada CF;2;0;2;Home
9;2023-10-08 00:00:00;Granada CF;Barcelona;2;2;4;Tie
9;2023-10-08 00:00:00;Alaves;Betis;1;1;2;Tie
9;2023-10-08 00:00:00;Celta Vigo;Getafe;2;2;4;Tie
9;2023-10-08 00:00:00;Atl. Madrid;Real Sociedad;2;1;3;Home
9;2023-10-08 00:00:00;Villarreal;Las Palmas;1;2;3;Away
9;2023-10-07 00:00:00;Sevilla;Rayo Vallecano;2;2;4;Tie
9;2023-10-07 00:00:00;Mallorca;Valencia;1;1;2;Tie
9;2023-10-07 00:00:00;Real Madrid;Osasuna;4;0;4;Home
9;2023-10-07 00:00:00;Cadiz CF;Girona;0;1;1;Away
9;2023-10-06 00:00:00;Ath Bilbao;Almeria;3;0;3;Home
8;2023-10-02 00:00:00;Las Palmas;Celta Vigo;2;1;3;Home
8;2023-10-01 00:00:00;Atl. Madrid;Cadiz CF;3;2;5;Home
8;2023-10-01 00:00:00;Betis;Valencia;3;0;3;Home
8;2023-10-01 00:00:00;Alaves;Osasuna;0;2;2;Away
8;2023-10-01 00:00:00;Almeria;Granada CF;3;3;6;Tie
8;2023-09-30 00:00:00;Real Sociedad;Ath Bilbao;3;0;3;Home
8;2023-09-30 00:00:00;Girona;Real Madrid;0;3;3;Away
8;2023-09-30 00:00:00;Rayo Vallecano;Mallorca;2;2;4;Tie
8;2023-09-30 00:00:00;Getafe;Villarreal;0;0;0;Tie
8;2023-09-29 00:00:00;Barcelona;Sevilla;1;0;1;Home
7;2023-09-28 00:00:00;Osasuna;Atl. Madrid;0;2;2;Away
7;2023-09-28 00:00:00;Celta Vigo;Alaves;1;1;2;Tie
7;2023-09-28 00:00:00;Granada CF;Betis;1;1;2;Tie
7;2023-09-27 00:00:00;Cadiz CF;Rayo Vallecano;0;0;0;Tie
7;2023-09-27 00:00:00;Valencia;Real Sociedad;0;1;1;Away
7;2023-09-27 00:00:00;Ath Bilbao;Getafe;2;2;4;Tie
7;2023-09-27 00:00:00;Real Madrid;Las Palmas;2;0;2;Home
7;2023-09-27 00:00:00;Villarreal;Girona;1;2;3;Away
7;2023-09-26 00:00:00;Mallorca;Barcelona;2;2;4;Tie
7;2023-09-26 00:00:00;Sevilla;Almeria;5;1;6;Home
6;2023-09-24 00:00:00;Atl. Madrid;Real Madrid;3;1;4;Home
6;2023-09-24 00:00:00;Betis;Cadiz CF;1;1;2;Tie
6;2023-09-24 00:00:00;Las Palmas;Granada CF;1;0;1;Home
6;2023-09-24 00:00:00;Rayo Vallecano;Villarreal;1;1;2;Tie
